Feature,Orig_Mean,Median_Mean,Zero_Mean,Orig_Var,Median_Var_Ratio,Zero_Var_Ratio
Min Packet Length,18.17195,18.17195,18.17195,742.8878976369883,1.0,1.0
Max Packet Length,1103.562965,1103.562965,1103.562965,4971059.052500671,1.0,1.0
Packet Length Mean,203.71432773726212,203.71432773726212,203.71432773726212,119441.51419283348,1.0,1.0
Packet Length Std,355.6251229891601,355.6251229891601,355.6251229891601,540587.1818076258,1.0,1.0
Packet Length Variance,666974.2492058596,666974.2492058596,666974.2492058596,4950267983279.92,1.0,1.0
FIN Flag Count,0.00745,0.00745,0.00745,0.007394534472672363,1.0,1.0
SYN Flag Count,0.048985,0.048985,0.048985,0.046585702703513504,1.0,1.0
RST Flag Count,0.00022,0.00022,0.00022,0.0002199526997634988,1.0,1.0
PSH Flag Count,0.31375,0.31375,0.31375,0.2153120140600703,1.0,1.0
ACK Flag Count,0.308695,0.308695,0.308695,0.21340346399231996,1.0,1.0
URG Flag Count,0.07828,0.07828,0.07828,0.07215260236301181,1.0,1.0
ECE Flag Count,0.00022,0.00022,0.00022,0.0002199526997634988,1.0,1.0
Down/Up Ratio,0.69039,0.69039,0.69039,0.5470343830719154,1.0,1.0
Average Packet Size,228.48615686280175,228.48615686280175,228.48615686280175,144609.6529051425,1.0,1.0
Avg Fwd Segment Size,65.8617437737836,65.8617437737836,65.8617437737836,39425.614985462074,1.0,1.0
Avg Bwd Segment Size,352.9149377451092,352.9149377451092,352.9149377451092,441927.1028013136,1.0,1.0
Fwd Header Length.1,-25472.192365,-25472.192365,-25472.192365,25192143696302.082,1.0,1.0
Subflow Fwd Packets,23.960985,23.960985,23.960985,3177946.112853394,1.0,1.0
Subflow Fwd Bytes,780.859935,780.859935,780.859935,133960557.53660446,1.0,1.0
Subflow Bwd Packets,29.44125,29.44125,29.44125,5603233.756097218,1.0,1.0
Subflow Bwd Bytes,57532.728495,57532.728495,57532.728495,28486905754888.87,1.0,1.0
Init_Win_bytes_forward,6710.89657,6710.89657,6710.89657,178664893.02005738,1.0,1.0
Init_Win_bytes_backward,2073.635625,2073.635625,2073.635625,77858012.25504713,1.0,1.0
act_data_pkt_fwd,20.23306,20.23306,20.23306,2894621.534160707,1.0,1.0
min_seg_size_forward,-8783.84906,-8783.84906,-8783.84906,738784840933.7091,1.0,1.0
Active Mean,119583.15051412885,119583.15051412885,119583.15051412885,651249345031.9396,1.0,1.0
Active Std,60127.58436692913,60127.58436692913,60127.58436692913,260934396886.439,1.0,1.0
Active Max,225084.36139,225084.36139,225084.36139,1696364918034.9102,1.0,1.0
Active Min,84737.1254,84737.1254,84737.1254,502074183472.1715,1.0,1.0
Idle Mean,6066405.188617427,6066405.188617427,6066405.188617427,273302606234908.94,1.0,1.0
Idle Std,812508.2914467377,812508.2914467377,812508.2914467377,27636368878479.39,1.0,1.0
Idle Max,6657043.7676,6657043.7676,6657043.7676,321111854673412.4,1.0,1.0
