Feature,KL_2018,JS_2018,Wasserstein_2018,KL_Lycos,JS_Lycos,Wasserstein_Lycos,Mean_JS_Drift
Flow Duration,0.07618975420313247,0.019627413911927103,1058473.8718899998,0.0561411384820998,0.013152667202605724,3665231.5486900005,0.016390040557266415
Fwd Packet Length Std,0.15941363774074666,0.023003708727068174,56.86773050003022,0.09773997937389263,0.008180093855641682,284.814776151643,0.015591901291354928
Packet Length Variance,0.19259371416672022,0.02839223282939255,469605.6867254908,0.0006877247007372637,0.0001771131335964064,5025384.897868631,0.01428467298149448
Fwd IAT Max,0.06950201798662602,0.016727460132490515,1423540.2464200002,0.05573122532450086,0.011697744779698595,3749143.9304599995,0.014212602456094556
Flow IAT Max,0.0650081528019005,0.01574317437296302,1393647.2239,0.05356352160510267,0.011286068848688073,3688125.53094,0.013514621610825547
Bwd IAT Total,0.04278513303396318,0.012009770181095615,2432336.4608600005,0.04763221609598912,0.013633545671264556,1334371.7048399998,0.012821657926180086
Idle Min,0.058368935773732936,0.013782381506815648,1157492.4286699998,0.047917092170264027,0.010069833140923513,2974939.35185,0.01192610732386958
Idle Max,0.05801718644942183,0.013489611304665205,1194567.8494699998,0.04917659011782462,0.010234684674004273,3662368.5216300003,0.011862147989334739
Idle Mean,0.05533308372093856,0.013156384795660022,959471.89662278,0.04536476523018116,0.009518806129776165,3318162.0607828824,0.011337595462718094
Flow IAT Mean,0.0545167208827283,0.013930676336066095,3206158.3960949364,0.03577021731004824,0.006726168481240804,590392.0039000132,0.01032842240865345
Fwd IAT Mean,0.05325000067913069,0.014060608284242916,2494042.9368749107,0.028467404914664048,0.006264151098565865,1342221.5811069955,0.010162379691404391
Flow IAT Std,0.04643070796857735,0.009966431708019216,1468677.9503428766,0.042279000718551424,0.009222260617088324,1290952.4131378199,0.00959434616255377
Bwd Packets/s,0.04030333654494927,0.013023967024723339,21937.40926175008,0.02383051237698148,0.005042408500614766,10995.283524733033,0.009033187762669053
Fwd IAT Std,0.0384205690344348,0.008405457215181458,1487343.2362068903,0.04126829422436751,0.009058073809418334,1253123.8127625803,0.008731765512299896
Min Packet Length,0.05658077274593882,0.009950987603390348,6.329510000000018,0.02240164857547997,0.004959993552784946,5.651619999999979,0.007455490578087647
Fwd Packet Length Min,0.05957285934521246,0.008656499922628829,9.088719999999963,0.03321915297344733,0.006151602834471525,6.829339999999966,0.007404051378550177
Flow IAT Min,0.03176742605948947,0.00979176709273414,3692885.8470299994,0.00030790731320772696,7.656005072574466e-05,88616.94917999925,0.004934163571729942
Fwd IAT Min,0.029608822320609823,0.009094508563615695,3042631.17523,0.001409241711889228,0.0003356020993959492,824574.37233,0.004715055331505822
Down/Up Ratio,0.0050640403885706285,0.0008382719005370426,0.23266999999999555,0.04401025400659211,0.007801409941093189,0.34310173979999953,0.004319840920815116
Bwd IAT Max,0.016871293868406433,0.003995725028781908,1635861.5067,0.01741277936088203,0.004328860112250214,970589.2381700007,0.004162292570516061
PSH Flag Count,0.021409088466811055,0.005443292342700418,0.10058,0.003512671932235529,0.0012163650565470592,3.672389999999932,0.0033298286996237387
Fwd PSH Flags,0.00014975686449981117,3.694248088156784e-05,0.003429999999999933,0.011535119191207357,0.003991181665865081,1.9591799999999817,0.0020140620733733244
Bwd IAT Std,0.007472521331613504,0.001720850415916629,431971.23486957484,0.008067162035178512,0.001968268563472403,327731.31658110797,0.0018445594896945158
Bwd IAT Mean,0.006335373695341569,0.001441437540040541,915960.4610277433,0.005120761037664837,0.0012139935590249535,658313.9526766838,0.0013277155495327471
Idle Std,0.0022269321210342022,0.0005374233268918246,470244.81484944175,0.002129897801320735,0.0005124965653112571,483392.01214184094,0.0005249599461015408
Bwd IAT Min,0.0009139798570760511,0.0002214603356408254,695402.8969699999,0.0015425396358778641,0.00039753458287720045,520334.4282699999,0.0003094974592590129
Active Max,0.0013303752517594713,0.00031231219880467636,130627.38447000121,0.0005582452698885292,0.00013386154043159052,45683.276490001146,0.00022308686961813344
Subflow Bwd Packets,0.0003370386338507128,9.467997088305762e-05,3.14038000000049,0.0019798155607062477,0.000323504684451234,3.390716981220104,0.0002090923276671458
Bwd PSH Flags,0.0,0.0,0.0,0.00115787300105827,0.0004008765334217047,1.9887399999999475,0.00020043826671085235
ACK Flag Count,0.0003921451642177262,9.841242365234581e-05,0.012959999999999972,0.0006404216057631299,0.00021696246987525385,13.07124000000043,0.00015768744676379983
Bwd Header Length,0.0005776586314085767,0.00012818314514090486,83.8516600000095,0.0006616156953159344,0.00014494719260568442,101.40369999999497,0.00013656516887329464
Total Backward Packets,0.0003370386338507128,9.467997088305762e-05,3.14038000000049,0.0005154616447533121,0.00012337903250299797,4.221479999999758,0.0001090295016930278
Active Mean,0.0005577934177955607,0.00013323503562931403,89584.03315823128,0.00019804239774031356,4.79898743580707e-05,28149.324514435553,9.061245499369236e-05
Active Std,0.00042846628189629473,0.00010312104215760585,43113.38269685209,0.0002731367174700129,6.549170414127316e-05,9455.256401239873,8.43063731494395e-05
Subflow Bwd Bytes,0.00013134573043576672,3.0457212998599027e-05,4742.616460001025,0.0006128225611533,0.0001328374560642481,4066.4797725181265,8.164733453142356e-05
Total Length of Fwd Packets,7.608167428598459e-06,1.875238268574607e-06,572.3015099998568,0.0004317072350706395,0.00012134447600214594,5340.132519998627,6.160985713536027e-05
